"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jan 23 13:12:03 GMT 2022","Sun Jan 23 13:12:03 GMT 2022","1","Testing Allure Report","Regression","allure.gradle.project.TestCase","allure.gradle.project.TestCase","validateBasicFields","validateBasicFields","This is the description of the test Scenario"
"broken","Sun Jan 23 13:12:03 GMT 2022","Sun Jan 23 13:12:03 GMT 2022","5","Testing Allure Report","Regression","allure.gradle.project.TestCase","allure.gradle.project.TestCase","baseMethodConfiguration","baseMethodConfiguration",""
