"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jan 23 13:18:53 GMT 2022","Sun Jan 23 13:18:53 GMT 2022","5","Testing Allure Report","Regression","allure.gradle.project.TestCase","allure.gradle.project.TestCase","baseMethodConfiguration","baseMethodConfiguration",""
"skipped","Sun Jan 23 13:18:53 GMT 2022","Sun Jan 23 13:18:53 GMT 2022","2","Testing Allure Report","Regression","allure.gradle.project.TestCase","allure.gradle.project.TestCase","validateBasicFields","validateBasicFields","This is the description of the test Scenario"
