"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","1","0","0","0"
"EPIC-001","Feature ID: FEA-1","Story ID: STR-001","0","0","0","1","0"
